Location,Location_coord,rating,Post_url
欣葉日本料理信義新天地A11店,"(25.0360953, 121.567219)",4.1,https://www.instagram.com/p/CNHJg9gDsdB/
隨意鳥地方101觀景餐廳求婚生日尾牙婚宴景觀夜景牛排餐廳推薦,"(25.0335715, 121.5649428)",4.1,https://www.instagram.com/p/CVkrkbRPygN/
勞瑞斯牛肋排餐廳,"(25.039633, 121.5678702)",4.3,https://www.instagram.com/p/B-J238opeyc/
PAUL法國保羅麵包新光三越信義A9店,"(25.0359879, 121.5667981)",4.1,https://www.instagram.com/p/CXtiBTKvhBf/
馬辣頂級麻辣鴛鴦火鍋信義店,"(25.0354574, 121.5678596)",4.4,https://www.instagram.com/p/CXr_6czgzjQ/
丸亀製麵新光三越台北信義A8店烏龍麵餐廳,"(25.0383589, 121.5666138)",4.2,https://www.instagram.com/p/CMjzPBiBina/
BELLINIPastaPasta台北信義威秀店,"(25.0352187, 121.5672369)",4.3,https://www.openstreetmap.org/copyright/
台北寒舍艾美酒店寒舍食譜,"(25.0382675, 121.5681767)",4.2,https://www.instagram.com/p/CXtLul0pF6l/
非常泰,"(25.0355031, 121.56786)",4.4,https://www.instagram.com/p/CXYyUkwvPgf/
三井cuisineM,"(25.0385722, 121.5662876)",4.2,https://www.instagram.com/p/CXifeI9F6Tn/
兩班家韓式碳烤新光三越A9店,"(25.0364054, 121.566685)",4.1,https://www.instagram.com/p/COf1M9brvAA/
金色三麥信義誠品店,"(25.0391196, 121.5658)",4.2,https://www.instagram.com/p/CLBH7xuj7UQ/
頂鮮台南擔仔麵台北101店DingXianTaipei,"(25.033976, 121.5645389)",4.7,https://www.instagram.com/p/CVVBV8SsiQW/
醐同燒肉夜食五號店,"(25.0355169, 121.5679057)",4.1,https://www.instagram.com/p/CVaZ3luvoUL/
太陽蕃茄拉麵誠品信義店,"(25.0397197, 121.5658739)",4.2,https://www.instagram.com/p/BEQ_qtiH2ys/
饗食天堂台北信義店,"(25.03531, 121.5660665)",4.1,https://www.instagram.com/p/CKyjMQCMw4G/
老乾杯信義店,"(25.0365352, 121.5667157)",4.2,https://www.instagram.com/p/BVRJzTAjmM9/
紫艷中餐廳,"(25.040598, 121.565735)",4.3,https://www.instagram.com/p/ByAOd6oHkSl/
乾杯信義ATT店,"(25.035666, 121.566074)",4.1,https://www.instagram.com/p/CT4RMr4J55y/
LATELIERdeJoëlRobuchon侯布雄法式餐廳,"(25.0396219, 121.567641)",4.2,https://www.instagram.com/p/CXs9e2rvvWg/
HALEAKALA美式漢堡,"(25.0396219, 121.567641)",4.2,https://www.instagram.com/p/CMZeeX0lPpI/
合shabu,"(25.0396219, 121.567641)",4.6,https://www.instagram.com/p/CWvEVD_vyWB/
凱林鐵板燒信義威秀店,"(25.0352187, 121.5672369)",4.1,https://www.instagram.com/p/Bu8BtP4hDTG/
TGIFRIDAYS星期五美式餐廳信義餐廳,"(25.0407344, 121.5653917)",4.1,https://www.instagram.com/p/CW5tWKJBkvh/
鼎泰豐101店,"(25.03346, 121.5644841)",4.5,https://www.instagram.com/p/CO5JpGqgRAA/
大戶屋統一時代台北店,"(25.0406227, 121.5654586)",4.3,https://www.instagram.com/p/Bk4GqiphUnL/
